difficulty, workers, result, time
15,2,2147493154,39.1037814617157
4,20,214748380,29.57063317298889
3,16,0,33.62338900566101
13,4,2670,29.62747550010681
12,9,2670,31.245542287826538
30,3,346714796,3761.2339704036713
13,13,2643073572,31.367934226989746
10,10,429499560,27.75821042060852
8,3,2863311571,40.885496377944946
28,10,1294196226,93.01750898361206
14,14,1227136754,36.778403520584106
19,17,3032254536,34.214497089385986
12,7,2275002637,5.152163505554199
27,16,1080931621,107.98332571983337
17,5,858997016,27.964932203292847
4,2,2147483655,40.77820539474487
5,5,54,34.421080589294434
24,8,1080931621,108.7097315788269
6,1,54,34.93078398704529
1,20,214748364,32.44185400009155
1,3,0,34.971678018569946
17,14,306805046,30.500431299209595
26,12,1080931621,111.99579000473022
17,12,137342,37.81111979484558
12,13,2863434063,7.7303831577301025
17,14,306805046,33.615480184555054
2,17,2147573155,10.102091789245605
7,12,1789570077,34.74636101722717
27,17,1011599606,57.9169065952301
25,1,2276240132,1.4472897052764893
29,11,468323485,861.7256233692169
29,12,468323485,1210.073858499527
24,7,1914776891,5.184300661087036
17,8,2147573155,33.70343375205994
11,13,694,29.190784215927124
26,13,3305625516,56.26410484313965
13,5,2670,30.301842212677002
2,2,2576990111,2.1108944416046143
11,12,694,32.843172550201416
28,11,43983181,512.3260385990143
10,4,1073742166,31.187242031097412
14,6,3579161978,33.04352021217346
16,12,2147493154,29.88201928138733
1,2,2147483651,30.227018356323242
16,7,1227258922,30.338011026382446
8,10,3068032100,7.665560483932495
19,13,2973451782,40.1353862285614
26,20,991333699,13.092748165130615
12,14,1840702118,34.953672647476196
21,3,1027827,54.94701623916626
28,5,43983181,501.10083866119385
15,6,715843807,36.23845434188843
21,14,920505258,38.655823945999146
20,11,2147573155,7.16581654548645
16,2,133050,41.331260681152344
9,6,2147483695,36.78969430923462
29,1,346714796,3821.5195636749268
4,16,268435468,31.879079341888428
9,1,694,54.08006477355957
23,2,2158365672,139.49921083450317
24,13,11554918,8.665892124176025
14,1,2670,53.4403760433197
27,1,30074393,315.9725923538208
23,8,2689354329,86.69900631904602
3,6,3763477555,4.216917514801025
24,13,3635304418,50.214025259017944
10,20,663535756,14.048735618591309
4,17,0,30.302775621414185
28,3,43983181,504.91700172424316
10,2,2147483695,40.85628628730774
29,15,346714796,690.9560348987579
11,2,2147483695,29.93169069290161
3,13,991146305,33.08267688751221
29,10,468323485,452.0849144458771
11,4,3221225838,29.018781900405884
10,5,2576980702,29.46353030204773
6,4,3221225510,31.603509664535522
16,13,2973451782,27.534428119659424
18,11,781083900,32.397947549819946
13,15,1145324993,28.8431293964386
3,8,536870916,28.26781463623047
22,18,716489327,48.25155997276306
10,10,3579807234,6.803032636642456
30,15,346714796,603.7438604831696
21,6,1027827,40.163116693496704
2,14,3579807234,8.60083818435669
26,18,1914776891,112.64398384094238
28,12,2395185019,7.423523426055908
1,5,0,33.12328290939331
5,5,858993467,30.841443061828613
27,6,30074393,358.09890365600586
21,13,660881197,50.33193755149841
14,7,1984559428,4.699431657791138
28,19,468323485,211.14557147026062
12,9,2276240132,5.664909601211548
14,9,477233618,31.512961864471436
15,1,89253,53.37794852256775
30,3,346714796,3221.0358979701996
6,16,54,31.690782070159912
18,8,3758103648,28.58565902709961
8,16,137342,9.797055721282959
23,7,614289831,45.60719680786133
14,9,3071620172,6.129239797592163
29,15,346714796,692.5897228717804
2,7,0,33.97788715362549
25,9,960243597,103.48291563987732
17,19,486213409,11.370471239089966
1,5,0,27.683189630508423
6,3,1431655766,29.143983840942383
29,14,2475683680,237.7195165157318
24,18,2386828422,44.49554109573364
12,15,1195519853,9.302846908569336
6,2,54,36.60606551170349
10,20,2147483695,28.505165576934814
9,2,694,37.89958167076111
2,15,286331153,31.297288179397583
2,9,0,32.259037494659424
1,7,613566758,29.898251056671143
10,11,3514064149,28.34810733795166
8,15,4008636355,30.924757480621338
9,13,1321528570,29.357895612716675
17,4,137342,34.10032367706299
9,14,2761050924,37.98172163963318
10,1,694,38.55866599082947
19,10,429642288,38.6152606010437
19,14,2577589960,8.561610460281372
3,1,0,162.45628786087036
1,15,1431655766,32.19412350654602
1,2,0,43.29872488975525
19,17,758144800,37.480140686035156
28,9,1516597434,5.725658655166626
20,3,2864161208,46.836281538009644
6,7,1433208346,5.050899505615234
15,3,89253,36.81186103820801
14,17,252681035,33.37070393562317
9,15,1431655792,38.60599684715271
7,19,286332267,11.461715936660767
8,13,660765134,29.696502208709717
22,18,716489327,47.87629437446594
17,20,2625851897,13.5623779296875
30,13,346714796,217.0442316532135
18,7,137342,36.77919888496399
2,9,3817748707,32.668158769607544
6,16,268435506,36.58862853050232
17,11,1342177293,7.687585830688477
1,18,238609294,33.98588538169861
27,18,477218589,11.124980926513672
9,5,694,31.184864282608032
30,18,3414715023,741.5030822753906
11,1,694,39.816885232925415
17,15,1431748107,35.93584895133972
14,2,572872066,1.899831771850586
23,5,2578596442,50.30858564376831
20,17,1010638892,41.374895095825195
10,5,3284667259,3.8855092525482178
3,11,390451572,32.9054901599884
2,20,0,31.805505990982056
11,7,1227135428,32.64827871322632
14,4,1073778011,35.82661271095276
25,17,2021595553,49.263988733291626
14,8,2276240132,5.404143810272217
10,3,694,30.422412157058716
13,6,715829632,32.94646406173706
15,6,1431667161,35.383031129837036
23,12,2864161208,42.188769578933716
2,4,3579807234,3.2313756942749023
14,13,660773003,32.43046689033508
27,15,3747399911,290.1218726634979
16,10,858997016,34.49372863769531
14,13,2973448769,36.591721534729004
2,12,0,29.83208990097046
2,18,0,32.91986608505249
25,8,1080931621,112.17589402198792
29,17,2692999092,10.375934839248657
25,18,3105462409,72.5334804058075
8,16,1914776891,9.60849905014038
9,16,1073742166,37.1768159866333
28,11,43983181,502.78058648109436
29,14,2475683680,242.07951951026917
28,17,2276240132,96.80828595161438
24,6,3579807234,45.28226447105408
15,7,1227136754,32.45405697822571
15,2,2147493154,34.77576541900635
8,9,477218711,31.997676849365234
17,2,137342,30.210641622543335
14,20,2670,29.376673460006714
21,11,1171659033,40.30530762672424
24,6,1027827,4.279775381088257
24,13,3304469348,51.60235905647278
12,15,3635304418,8.947902917861938
13,4,3221246955,27.873026132583618
26,5,30074393,369.275785446167
8,2,2147483695,42.169827938079834
2,15,1145324620,35.58976602554321
15,4,89253,36.52632546424866
16,13,660863894,38.23622441291809
16,15,133050,8.984500169754028
20,1,1027827,42.60346460342407
24,3,30074393,350.20765256881714
8,15,286331270,28.90520405769348
27,8,1080931621,105.05004000663757
16,6,715904100,32.234405517578125
18,2,137342,31.04627013206482
23,18,239707636,48.58389592170715
1,14,2864161208,8.44966459274292
25,8,1080931621,107.74626326560974
10,11,2692999092,7.338015794754028
7,4,311,38.73567247390747
8,19,1356306650,30.047945499420166
29,12,468323485,1049.7452466487885
20,6,716489327,43.175068378448486
27,4,1433208346,3.124662160873413
2,7,1840700273,34.342230796813965
24,3,30074393,355.59527254104614
23,1,11554918,145.91833448410034
9,10,694,31.464964151382446
14,5,1718004848,32.38139581680298
6,6,54,34.4922091960907
24,12,3579807234,51.38433837890625
2,13,361048036,7.879005193710327
